,username,date,review_text
0,3rian,1766275200000,"I was still in a sci-fi mood after my last read but also wanted something on the shorter side. This was awesome, introducing an immediately likeable lead while packing in cool world-building, creepy tension, and exciting action scenes, all within about 150 pages. I immediately clicked with the main character's vibe, a deadly for-hire security robot that's secretly overridden its company's ability to control it, primarily using that freedom to quietly binge-watch television dramas during its downtime. The writing has a lot of fun with character's mindset, with the robot mildly annoyed by and uncomfortable around the humans it still genuinely wants to protect. Highly enjoyable! I'll certainly come back for more. 1 like"
1,katy ♡,1766275200000,"i loved this. murderbot is just so cutie and funny. i just think bc it’s soo short that i ended up confused a bit. i needed this to be longer with more explanations. i think that’s just a skill issue tho. i know there’s 7 more books, so i will absolutely be reading those at some point 3 likes"
2,namey,1766275200000,"felt like a draft, boring plot, somewhat fun at times you get no description of what anything or anyone looks like or is like. the humor isnt anything special. if it was longer it might have been better. i plan to read the next volume anyway. im bad at reviews"
3,Keila,1766275200000,"My only peeve is that this book isn't any longer, but it put me off my miserable reading slump so I guess it's more than okay. gn-beyond-outer-space short-reads 2 likes"
4,Lynda Kelly,1766188800000,"In my journey to find sci-fi I don’t hate, this was alright. Quick and fun. Liked the narrator."
5,Em,1766188800000,first few pages/chapters felt a bit slow (concerning for a novella??) but it picks up after and ended up being a fine read 1 like
6,Remi,1766188800000,"really fun little scifi novella! I absolutely LOVE non-human (or human) beings who are presumed to be emotionless or are unpersoned by their enviroment, but have genuinely strong and complex inner lives and worlds. murderbot was just a delight, and the story itself was tightly written and efficient. I zoned out a bit during the explanations of the scifi aspects, and I found the humans a little boring, but ultimately it was a great little read and I look forward to the next one 1 like"
7,Madi Taylor,1766188800000,"murder ""I don't care"" bot I love you"
8,Sarah Creech,1766188800000,i just know murderbot would love heated rivalry
9,Rylee Hutchison,1766188800000,3.5 ⭐️ I feel like I need to reread this when I don’t have narcotics in my system because ya girl was confused for the first 35% of the book.
10,Justin,1766188800000,Very short and fun! I'm starting the sequel immediately lol 1 like
11,Dorothy,1766188800000,I too have aspirations of being a couch potato. 1 like
12,Yasir,1766361600000,"Does everything it sets out to. Cute and charming. Suspenseful at times. Fun metaphor, perhaps, for introversion/atypical neuro/human engineering. Slow start but short. I appreciated the brevity. sci-fi 1 like"
13,LootLoot,1766188800000,I was anticipating 3-4 stars but really enjoyed this!
14,Katie Byrd,1766188800000,3.75
15,Kyle McBride,1766188800000,"I'm a little concerned with how much I related to a murder robot. Interesting premise, protagonist, and story. Really enjoyed this book. 1 like"
16,Erica,1766188800000,"This is a nice quick read, and moves along at the right pace. Murderbot is clearly everyone's favorite, and I bet this is an absolute banger of an audiobook when read by the right person. 1 like 1 comment"
17,alice,1766188800000,I <3 murderbot
18,Lucy Howard,1766188800000,3.9
19,Catherine,1766188800000,"This is a lively science fiction tale about a security “construct” with the personality of a depressed teenager, and a self-identity as “Murder Bot.” Assigned to provide security for a human research crew, our hero finds itself managing a series of dangerous and unexpected events. Very well narrated."
20,Marbs,1766102400000,Read and wrote a paper on this book my junior year of high school. I'm going to return to it again because of the arrival of AIs like chatgpt and others. A more extensive review is looming but just know that I believe this book should be mandatory reading in school.
21,Gabrielle,1766102400000,"cute, just not my genre"
22,Angela,1766102400000,A fun and quick read <3 murderbot you are my new elite employee. 1 like
23,Sarah Xu,1766361600000,So fun!!! + Watching the show rn on apple tv 😁 1 like
24,Cindy,1766102400000,fun little sci-fi romp 1 comment
25,Hannah Cabre,1766102400000,Easy little novella that was entertaining
26,Vii,1766102400000,"Very funny, relatable, and heartwarming, though I had a bit of trouble keeping the characters straight since it was all going so fast."
27,Laura Hamilton,1766102400000,Short and sweet. A great introduction to a world that I will hopefully be exploring some more. Feels like the perfect palette cleanser!
28,Brooke Biette,1766102400000,Fun novella about a half-robot/half-human whose job is to protect humans but they don't really like humans and would rather watch tv lol. I love a bit of sci-fi and this tickled that itch. Not sure if I'll read the rest in the series or not but I'm keeping them on my wishlist for now because this was a great quick little read.
29,JenBarb_,1766102400000,"Murderbot is truly one of the most relatable characters ever written, I'm looking forward to reading more of the series when I can get it at the library. I may need to reread it first though, so I can get a handle on all the other characters though, since there is a pretty big cast and I rushed through the book."
30,Maddie Ritter,1766102400000,it took a really long time into it. but once the action picked up i got interested
31,Karen Hendrickx,1766102400000,"- a fun, short read (at least the first 70%) - murderbot grew on me so fast, so hard, its not even funny 🥺 - the plot was pretty thin and the conclusion to the murder mystery was pretty unsatisfying, so that was a bummer."
32,Jordan,1766102400000,I do not understand the massive hype around this. This was so boring? Short and super slow.
33,Wendel,1766102400000,"Needed a 'snack' in between a longread, so I cheated and read this after watching season 1 of the Murderbot-series. I'll probably continue with both. 3,5*"
34,Whit,1766102400000,really action-packed & fast-paced lil shorty. i love a good sci-fi thriller.
35,LawfulLiam,1766102400000,"I picked this up on a recommendation from a cool teenager. It is right up my alley, with a cool story about a relatablely detatched and anxious robot integrating with humans with a unique take on manufactured intelligence in this sci-fi story. I like the dynamic that they have with limitations. This book was able to pack quite the nice story for a 3 hour read. I'll definitely be reading the rest of this series, as well as sharing this with my siblings. Thank you again, random cool teenager."
36,Jerry Kleiner,1766102400000,"4 Good solid introduction to the Murderbot Diaries. I appreciate the fact that we get right into the story and learn about the future as we go along—good characterization of our ""hero"" and a delightful writing style. I'm looking forward to the next in the series. Ahimsa papa j"
37,xini mar,1766102400000,"it's just like me forreal ""I was also planning to use the time to watch some Sanctuary Moon and recharge my ability to cope with humans at close quarters without losing my mind."" genre-scifi ubi-drive"
38,mai,1766102400000,teehee murderbot so silly
39,Cristóbal,1766102400000,"Muy entretenido e interesante. Quizá acaba un poco de sopetón y la trama podría haber sido un pelín más compleja, pero es una novela corta y creo que va justo a lo importante."
